X,Y,OBJECTID,BUSINESS_ID,NAME,ADDRESS,CITY,STATE,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE_NUMBER
2092257.46616314,740551.527947217,1446590,04551FB6-5056-A20B-FA6FAC0A59E74340,DUNKIN' DONUTS #348417,3817 WESTERN BLVD ,RALEIGH,NC,27606,35.78436913,-78.68893912,19198586501
2094037.95702472,782102.380868971,1446591,04C66772-F34C-47FE-DF7C7422B3AAD872,BOTTLE MIXX,8111 CREEDMOOR RD ,RALEIGH,NC,27613,35.89850336,-78.68248786,19196151703
2063356.74476522,784594.823718712,1446592,0046D7E0-5056-A20B-FA728F89DE72F101,TAMARIND,8531-109 BRIER CREEK PKY ,RALEIGH,NC,27617,35.90557616,-78.78606215,19194063473
2144932.63541889,811065.738624543,1446593,04CC8E58-9ACE-3DC6-F01DF61775A1CB9E,WHITE STREET BREWING CO,218 S WHITE ST ,WAKE FOREST,NC,27587,35.97750081,-78.51016553,19196479439
2099786.80346665,741487.162886962,1446594,04D9B05A-C331-5A52-99122FA35457268C,CAFE SOO,2106  HILLSBOROUGH ST ,RALEIGH,NC,27607,35.78687212,-78.66354224,19198342244
2127464.74253324,746538.403440624,1446595,04DDFEB1-D595-D3B0-5236A77C1D38FC6E,FOUR BROTHERS PIZZA,3919 NEW BERN AVE ,RALEIGH,NC,27610,35.80045574,-78.57014599,19192310003
2075947.70088248,741901.679446384,1446596,04E10D16-9130-8BD5-E43CEB3D7DE37DC5,Sukhadia's Indian Cuisine,6715 Hillsborough Street,RALEIGH,NC,27606,35.78820637,-78.7439181,19193891200
2184407.37011756,743924.310899794,1446597,04E30B2B-A07E-2422-F0D9EDF0B772198B,WENDELL MART,2901 WENDELL BLVD ,WENDELL,NC,27591,35.79244552,-78.37817576,19193656686
2048881.52141915,712197.728027627,1446598,04EDD59D-EE66-E1B1-0B60F2C425C9662E,SUBWAY,1561 E WILLIAMS ST ,APEX,NC,27539,35.7067576,-78.83534627,19193677785
2145355.01351115,809862.124890044,1446599,04F3E596-B231-1D03-93F1694D92A5F804,BROOKS STREET BOWL,413 BROOKS  ST ,WAKE FOREST,NC,27587,35.97418866,-78.50875816,19194881651
2087086.10117781,768336.794226959,1446600,04F99854-009D-5139-7286AC66B1ED4DAF,DICKEY'S BARBECUE PIT #413,6552 GLENWOOD  AVE ,RALEIGH,NC,27612,35.86074545,-78.70609774,19194363995
2106718.51663731,759726.811118886,1446601,05008F2F-FCE8-88F4-5F095F39D806CD3D,THE YARD HOUSE #41,4208 SIX FORKS  RD ,RALEIGH,NC,27609,35.83691426,-78.63994726,19198812590
2033625.29044873,726171.413006708,1446602,05781571-D58F-1EE2-DB40597F49D3EEEB,SLICE OF NY PIZZA,2045 CREEKSIDE LANDING DR ,APEX,NC,27502,35.74520682,-78.88668196,19193870500
2146571.9116679,799112.459381551,1446603,0579154B-C7A1-D375-27348090C7400D84,One Whirled Cafe,3652 Rogers Road,WAKE FOREST,NC,27587,35.94464173,-78.50482681,19195621118
2112057.76350473,780928.767402545,1446604,05B2BE11-058B-AB3D-017B2DEC467345CE,Crafty Beer Shop,8450 Honeycutt Road,RALEIGH,NC,27615,35.89510574,-78.62166097,19197030874
2084191.18702015,772099.809666798,1446605,05FC4828-D045-412A-668B9DA54E40F115,FLYING BURRITO,4800 GROVE BARTON RD ,RALEIGH,NC,27613,35.87110639,-78.71583123,19197852734
2054333.53938648,747800.613514632,1446606,0602A9F6-C40F-A0C9-46C8CFDD00DA960D,"RUCKUS PIZZA PASTA &amp; SPIRITS #3",1101 MARKET CENTER  DR ,MORRISVILLE,NC,27560,35.80454378,-78.81676023,19193883500
2067156.84346423,669737.002581805,1446607,06120DD7-0E13-3205-5876E4A445033F6F,COMFORT INN FUQUAY VARINA BREAKFAST,7616 PURFOY RD ,FUQUAY VARINA,NC,27526,35.59000199,-78.77411286,19195579000
